"Region","Death_CAfire"
"Alaska",0.322722644726573
"Eastern Canada",4610.76865484503
"Midwest U.S.",5345.70769875246
"Northeast U.S.",641.811115639303
"Northwest Canada",63.0947970261041
"Northwest U.S.",197.856684186869
"Ohio Valley",5730.55351954621
"Rocky Mountains U.S.",622.968315126036
"Southwest Canada",3498.92718297096
